episode: 146/500000, score: 24.83402105033164, avg_score: 394.29719552974757, ep_steps: 88, cumulus_steps: 124383
episode: 147/500000, score: 21.485530665770057, avg_score: 384.2402803447031, ep_steps: 72, cumulus_steps: 124455
episode: 148/500000, score: 93.50808234939323, avg_score: 379.47391423850337, ep_steps: 278, cumulus_steps: 124733
episode: 149/500000, score: 125.3218406001965, avg_score: 371.34786780194014, ep_steps: 299, cumulus_steps: 125032
episode: 150/500000, score: 11.993591494433343, avg_score: 362.2685446918966, ep_steps: 61, cumulus_steps: 125093
episode: 151/500000, score: 5.992947268417628, avg_score: 353.5621116723279, ep_steps: 48, cumulus_steps: 125141
episode: 152/500000, score: 1.514973373040265, avg_score: 344.8134959243102, ep_steps: 30, cumulus_steps: 125171
episode: 153/500000, score: 12.88970305857074, avg_score: 337.2026319501609, ep_steps: 53, cumulus_steps: 125224
episode: 154/500000, score: 229.59607143202723, avg_score: 335.3516765571772, ep_steps: 456, cumulus_steps: 125680
episode: 155/500000, score: 8.669718188438852, avg_score: 326.80383631423854, ep_steps: 67, cumulus_steps: 125747
episode: 156/500000, score: 205.23725227551756, avg_score: 323.3733364887537, ep_steps: 393, cumulus_steps: 126140
episode: 157/500000, score: 2.767430122398946, avg_score: 313.51524774705484, ep_steps: 21, cumulus_steps: 126161
episode: 158/500000, score: 0.13962212122423767, avg_score: 306.9941214820276, ep_steps: 19, cumulus_steps: 126180
episode: 159/500000, score: 0.603458983224117, avg_score: 298.5607664487566, ep_steps: 19, cumulus_steps: 126199
episode: 160/500000, score: 1.126023543685732, avg_score: 288.6339103169651, ep_steps: 19, cumulus_steps: 126218
episode: 161/500000, score: -0.25552992899174654, avg_score: 279.0835783317825, ep_steps: 19, cumulus_steps: 126237
episode: 162/500000, score: -0.03194273048284324, avg_score: 271.19517379135704, ep_steps: 19, cumulus_steps: 126256
episode: 163/500000, score: 3.5655989805760324, avg_score: 264.5615336615017, ep_steps: 20, cumulus_steps: 126276
episode: 164/500000, score: 1.12131498564704, avg_score: 255.63539575944478, ep_steps: 19, cumulus_steps: 126295
episode: 165/500000, score: 0.010278643836499513, avg_score: 248.4335202852826, ep_steps: 19, cumulus_steps: 126314
episode: 166/500000, score: 1.9438172206282607, avg_score: 239.6977680212935, ep_steps: 20, cumulus_steps: 126334
episode: 167/500000, score: 2.104710578170488, avg_score: 231.22806833257712, ep_steps: 20, cumulus_steps: 126354
episode: 168/500000, score: 0.723537605337332, avg_score: 221.97781615322495, ep_steps: 19, cumulus_steps: 126373
episode: 169/500000, score: 0.6892035973389276, avg_score: 212.28200718242277, ep_steps: 19, cumulus_steps: 126392
episode: 170/500000, score: 0.13976648802199532, avg_score: 203.79033830453253, ep_steps: 19, cumulus_steps: 126411
episode: 171/500000, score: 0.3867417576009743, avg_score: 194.2674177028277, ep_steps: 19, cumulus_steps: 126430
episode: 172/500000, score: 1.1428386407496864, avg_score: 189.44550635838795, ep_steps: 19, cumulus_steps: 126449
episode: 173/500000, score: 0.5301293043681649, avg_score: 185.7494987314013, ep_steps: 19, cumulus_steps: 126468
episode: 174/500000, score: 0.9921190781271427, avg_score: 180.54916912394424, ep_steps: 19, cumulus_steps: 126487
episode: 175/500000, score: 0.27098512744851116, avg_score: 173.99862058492224, ep_steps: 19, cumulus_steps: 126506
episode: 176/500000, score: 0.06326578252919601, avg_score: 165.92048333786522, ep_steps: 19, cumulus_steps: 126525
episode: 177/500000, score: 0.8865237173697087, avg_score: 157.83680400561573, ep_steps: 19, cumulus_steps: 126544
episode: 178/500000, score: 0.32649137400439876, avg_score: 149.7191162296242, ep_steps: 19, cumulus_steps: 126563
episode: 179/500000, score: 311.1932499110376, avg_score: 147.50954450488913, ep_steps: 612, cumulus_steps: 127175
episode: 180/500000, score: 0.5181241982456405, avg_score: 141.37991721718024, ep_steps: 20, cumulus_steps: 127195
episode: 181/500000, score: 367.8863246905124, avg_score: 140.7928098427809, ep_steps: 573, cumulus_steps: 127768
episode: 182/500000, score: 14.109101351823481, avg_score: 136.01733532102378, ep_steps: 47, cumulus_steps: 127815
episode: 183/500000, score: 13.34424806467723, avg_score: 130.19714267098084, ep_steps: 39, cumulus_steps: 127854
episode: 184/500000, score: -0.028439866335248587, avg_score: 123.56172484979598, ep_steps: 19, cumulus_steps: 127873
episode: 185/500000, score: 60.26533174840734, avg_score: 113.71694776082974, ep_steps: 176, cumulus_steps: 128049
episode: 186/500000, score: 59.860862793082205, avg_score: 107.72747629758696, ep_steps: 130, cumulus_steps: 128179
episode: 187/500000, score: 87.45339599386783, avg_score: 100.02859383859237, ep_steps: 355, cumulus_steps: 128534
episode: 188/500000, score: -0.4351509278916649, avg_score: 87.33160206008876, ep_steps: 19, cumulus_steps: 128553
episode: 189/500000, score: -0.0864815180641022, avg_score: 78.92377318404382, ep_steps: 21, cumulus_steps: 128574
episode: 190/500000, score: -1.4726893931307141, avg_score: 72.71135044050772, ep_steps: 19, cumulus_steps: 128593
episode: 191/500000, score: -1.3784715729823809, avg_score: 69.49244428224513, ep_steps: 19, cumulus_steps: 128612
episode: 192/500000, score: -0.9842300715434257, avg_score: 59.897381693170956, ep_steps: 19, cumulus_steps: 128631
episode: 193/500000, score: -2.4414212131581747, avg_score: 54.84771694723269, ep_steps: 19, cumulus_steps: 128650
episode: 194/500000, score: 0.5341829681987286, avg_score: 43.580764622569674, ep_steps: 21, cumulus_steps: 128671
episode: 195/500000, score: 57.29002560126392, avg_score: 34.51836159013922, ep_steps: 198, cumulus_steps: 128869
episode: 196/500000, score: -0.19066125448880566, avg_score: 34.017867944042806, ep_steps: 19, cumulus_steps: 128888
episode: 197/500000, score: 0.5923464714287541, avg_score: 33.60000426015598, ep_steps: 19, cumulus_steps: 128907
episode: 198/500000, score: 4.617883190028078, avg_score: 31.822200276968672, ep_steps: 26, cumulus_steps: 128933
episode: 199/500000, score: 13.220515471075485, avg_score: 29.580173774386253, ep_steps: 52, cumulus_steps: 128985
episode: 200/500000, score: -1.4602433406907949, avg_score: 29.311097077683772, ep_steps: 19, cumulus_steps: 129004
episode: 201/500000, score: -0.9322838547610454, avg_score: 29.172592455220197, ep_steps: 19, cumulus_steps: 129023
episode: 202/500000, score: -0.6512466838961707, avg_score: 29.129268054081468, ep_steps: 19, cumulus_steps: 129042
episode: 203/500000, score: -2.231458722894604, avg_score: 28.82684481845216, ep_steps: 19, cumulus_steps: 129061
episode: 204/500000, score: 56.831696631461114, avg_score: 25.37155732244084, ep_steps: 162, cumulus_steps: 129223
episode: 205/500000, score: 1.2411220638095974, avg_score: 25.222985399948257, ep_steps: 20, cumulus_steps: 129243
episode: 206/500000, score: 1.4098244517663254, avg_score: 21.14643684347323, ep_steps: 19, cumulus_steps: 129262
episode: 207/500000, score: -0.34657205672701874, avg_score: 21.084156799890707, ep_steps: 19, cumulus_steps: 129281
episode: 208/500000, score: -1.7652499923147857, avg_score: 21.046059357619935, ep_steps: 19, cumulus_steps: 129300
episode: 209/500000, score: -1.3816809882060634, avg_score: 21.006356558191328, ep_steps: 19, cumulus_steps: 129319
episode: 210/500000, score: -2.7568715397428614, avg_score: 20.928698656522755, ep_steps: 19, cumulus_steps: 129338
episode: 211/500000, score: -1.4374007077742146, avg_score: 20.905061240947102, ep_steps: 19, cumulus_steps: 129357
episode: 212/500000, score: -0.5084219825686895, avg_score: 20.895531655905387, ep_steps: 19, cumulus_steps: 129376
episode: 213/500000, score: -1.5931768781898439, avg_score: 20.792356138730074, ep_steps: 19, cumulus_steps: 129395
episode: 214/500000, score: -0.7923246877806386, avg_score: 20.75408334526152, ep_steps: 19, cumulus_steps: 129414
episode: 215/500000, score: -1.2622291471561773, avg_score: 20.728633189441666, ep_steps: 19, cumulus_steps: 129433
episode: 216/500000, score: -0.35513604277512123, avg_score: 20.682654124173595, ep_steps: 19, cumulus_steps: 129452
episode: 217/500000, score: -1.1855709341718477, avg_score: 20.61684849392675, ep_steps: 19, cumulus_steps: 129471
episode: 218/500000, score: -0.12168722276692379, avg_score: 20.599943997364665, ep_steps: 19, cumulus_steps: 129490
